ACT HS Code,Grad Year,N,Avg Eng,Avg Math,Avg Reading,Avg Sci,Avg Comp,CRB % Eng,CRB % Math,CRB % Reading,CRB % Sci,CRB % All Four
240215,2014,198,21.7,23.3,23.4,23.1,23,76,68,56,52,38
240215,2015,212,20.7,22.8,22.7,22.3,22.3,69,60,55,53,37
240215,2016,328,19.6,22,21.5,21.8,21.4,62,54,49,44,31
240215,2017,275,19.9,22.4,22,22.1,21.7,63,57,53,45,32
240215,2018,291,19.7,22,22.2,21.8,21.5,62,52,49,44,30
241740,2014,34,20.4,21.4,21.7,21.5,21.4,76,53,38,38,26
241740,2015,33,20.9,21.8,22.4,21.3,21.7,64,52,52,48,39
241740,2016,56,19,20,21.9,21.3,20.7,59,30,54,34,20
241740,2017,47,19.8,22.1,21.2,22.5,21.6,66,51,45,51,28
241740,2018,27,21.1,21.7,22.6,22.5,22,63,48,63,48,33
